status_group,amount_tsh,gps_height,basin,region,region_code,lga,public_meeting,scheme_management,permit,extraction_type_group,extraction_type_class,management,management_group,payment,quality_group,quantity,source,source_class,waterpoint_type,water_per_person,age_at_inspection,unknown_construction_year
functional needs repair,0.0,1195,Lake Victoria,Mwanza,19,Ukerewe,True,,True,other,other,vwc,user-group,never pay,good,seasonal,spring,groundwater,other,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,False,WUG,False,swn 80,handpump,wug,user-group,other,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1776,Pangani,Tanga,4,Lushoto,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,11.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,WUG,False,gravity,gravity,wug,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,300.0,264,Rufiji,Morogoro,5,Kilombero,True,Company,True,gravity,gravity,vwc,user-group,pay monthly,good,seasonal,river,surface,communal standpipe,1.7647058823529411,1.0,False
functional needs repair,0.0,0,Rufiji,Dodoma,1,Mpwapwa,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,0.0,-15,Wami / Ruvu,Dar es Salaam,7,Temeke,True,SWC,False,afridev,handpump,school,other,never pay,good,insufficient,machine dbh,groundwater,hand pump,0.0,13.0,False
functional needs repair,0.0,0,Lake Victoria,Mwanza,19,Geita,True,VWC,True,india mark ii,handpump,vwc,user-group,never pay,good,insufficient,machine dbh,groundwater,hand pump,0.0,,False
functional needs repair,0.0,110,Ruvuma / Southern Coast,Lindi,80,Lindi Rural,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,9.0,False
functional needs repair,0.0,1364,Lake Victoria,Shinyanga,17,Bariadi,False,WUG,True,india mark ii,handpump,wug,user-group,never pay,colored,insufficient,shallow well,groundwater,hand pump,0.0,8.0,False
functional needs repair,0.0,0,Lake Tanganyika,Mwanza,19,Geita,True,VWC,True,other,other,vwc,user-group,never pay,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,377,Ruvuma / Southern Coast,Mtwara,9,Tandahimba,True,Water Board,True,submersible,submersible,vwc,user-group,never pay,good,enough,machine dbh,groundwater,communal standpipe,0.0,31.0,False
functional needs repair,0.0,1595,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,False,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,pay when scheme fails,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Maswa,True,WUG,False,gravity,gravity,wug,user-group,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Wami / Ruvu,Dodoma,1,Mpwapwa,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,shallow well,groundwater,communal standpipe,0.0,,False
functional needs repair,100000.0,1173,Lake Rukwa,Rukwa,15,Mpanda,True,Parastatal,True,india mark ii,handpump,vwc,user-group,pay when scheme fails,good,enough,machine dbh,groundwater,hand pump,317.46031746031747,2.0,False
functional needs repair,25.0,978,Lake Rukwa,Rukwa,15,Mpanda,True,VWC,True,india mark ii,handpump,vwc,user-group,pay per bucket,salty,insufficient,machine dbh,groundwater,hand pump,0.05,4.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,2000.0,718,Ruvuma / Southern Coast,Ruvuma,10,Namtumbo,True,VWC,False,nira/tanira,handpump,wug,user-group,pay annually,good,insufficient,shallow well,groundwater,hand pump,5.555555555555555,14.0,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Maswa,True,VWC,False,gravity,gravity,vwc,user-group,other,good,seasonal,dam,surface,communal standpipe multiple,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,False,WUG,False,nira/tanira,handpump,wug,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,20.0,266,Ruvuma / Southern Coast,Mtwara,90,Masasi,True,VWC,True,gravity,gravity,vwc,user-group,pay per bucket,good,enough,spring,groundwater,communal standpipe,0.4444444444444444,9.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,other,0.0,,False
functional needs repair,0.0,1416,Pangani,Kilimanjaro,3,Moshi Rural,False,VWC,True,gravity,gravity,vwc,user-group,unknown,good,insufficient,spring,groundwater,communal standpipe,0.0,39.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,swn 80,handpump,wug,user-group,never pay,colored,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Biharamulo,True,VWC,True,nira/tanira,handpump,vwc,user-group,never pay,milky,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Mbozi,True,Water Board,True,gravity,gravity,vwc,user-group,pay annually,good,insufficient,river,surface,communal standpipe,0.0,,False
functional needs repair,50.0,694,Ruvuma / Southern Coast,Ruvuma,10,Tunduru,True,VWC,False,submersible,submersible,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe multiple,50.0,2.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,swn 80,handpump,wug,user-group,never pay,salty,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,562,Wami / Ruvu,Morogoro,5,Mvomero,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,37.0,False
functional needs repair,100.0,1082,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.3448275862068966,33.0,False
functional needs repair,250.0,1212,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,1.0416666666666667,14.0,False
functional needs repair,0.0,858,Lake Tanganyika,Kigoma,16,Urban,True,Parastatal,True,gravity,gravity,parastatal,parastatal,pay monthly,good,insufficient,river,surface,communal standpipe multiple,0.0,26.0,False
functional needs repair,100.0,1398,Internal,Singida,13,Singida Rural,True,VWC,,submersible,submersible,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe,100.0,13.0,False
functional needs repair,0.0,-36,Rufiji,Pwani,60,Mafia,True,VWC,False,afridev,handpump,vwc,user-group,never pay,good,insufficient,machine dbh,groundwater,hand pump,0.0,,False
functional needs repair,0.0,378,Ruvuma / Southern Coast,Lindi,80,Ruangwa,True,VWC,False,nira/tanira,handpump,vwc,user-group,never pay,salty,enough,shallow well,groundwater,hand pump,0.0,32.0,False
functional needs repair,20.0,560,Ruvuma / Southern Coast,Mtwara,90,Newala,True,VWC,False,submersible,submersible,vwc,user-group,pay per bucket,good,insufficient,machine dbh,groundwater,communal standpipe,20.0,,False
functional needs repair,0.0,241,Rufiji,Morogoro,5,Kilombero,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,27.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,improved spring,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Karagwe,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Internal,Tabora,14,Igunga,True,Water authority,True,afridev,handpump,vwc,user-group,pay per bucket,salty,insufficient,machine dbh,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,swn 80,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,mono,motorpump,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1644,Pangani,Kilimanjaro,3,Moshi Rural,False,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,other,0.0,41.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Karagwe,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Wami / Ruvu,Dodoma,1,Mpwapwa,True,VWC,True,submersible,submersible,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,500.0,988,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,VWC,True,gravity,gravity,wug,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,3.125,6.0,False
functional needs repair,0.0,1275,Lake Tanganyika,Kigoma,16,Kibondo,True,VWC,False,gravity,gravity,vwc,user-group,unknown,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,1.0,False
functional needs repair,250.0,1579,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.3333333333333333,4.0,False
functional needs repair,500.0,373,Wami / Ruvu,Morogoro,5,Mvomero,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe,10.204081632653061,27.0,False
functional needs repair,20.0,56,Rufiji,Pwani,60,Mkuranga,True,VWC,False,swn 80,handpump,vwc,user-group,pay per bucket,good,enough,shallow well,groundwater,hand pump,0.2,9.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1565,Pangani,Kilimanjaro,3,Moshi Rural,False,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,41.0,False
functional needs repair,200.0,270,Rufiji,Morogoro,5,Kilombero,True,WUA,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,2.0,8.0,False
functional needs repair,200.0,265,Rufiji,Morogoro,5,Kilombero,True,WUA,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,0.6666666666666666,13.0,False
functional needs repair,0.0,1973,Internal,Arusha,2,Monduli,False,Parastatal,,other,other,parastatal,parastatal,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,13.0,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,WUA,False,gravity,gravity,wua,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,1200.0,1235,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay annually,good,enough,river,surface,communal standpipe multiple,2.2857142857142856,36.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,444,Wami / Ruvu,Morogoro,5,Kilosa,True,VWC,True,submersible,submersible,vwc,user-group,never pay,good,enough,machine dbh,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,0.0,1609,Internal,Singida,13,Singida Rural,True,VWC,,submersible,submersible,vwc,user-group,never pay,good,insufficient,machine dbh,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,True,WUG,True,nira/tanira,handpump,wug,user-group,unknown,salty,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,1500.0,1542,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,pay annually,good,insufficient,spring,groundwater,communal standpipe,10.0,35.0,False
functional needs repair,0.0,1226,Lake Nyasa,Ruvuma,10,Mbinga,,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,communal standpipe,0.0,8.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,1161,Lake Victoria,Mwanza,19,Ukerewe,,,True,other,other,vwc,user-group,never pay,good,insufficient,spring,groundwater,other,0.0,14.0,False
functional needs repair,0.0,0,Internal,Tabora,14,Igunga,True,Private operator,False,other,other,private operator,commercial,never pay,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,other handpump,handpump,wug,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1000,Ruvuma / Southern Coast,Ruvuma,10,Songea Rural,True,VWC,True,gravity,gravity,vwc,user-group,pay when scheme fails,good,enough,river,surface,communal standpipe,0.0,35.0,False
functional needs repair,0.0,1387,Ruvuma / Southern Coast,Ruvuma,10,Mbinga,,WUG,True,gravity,gravity,wug,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,11.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Mbozi,True,VWC,False,nira/tanira,handpump,vwc,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Mwanza,19,Magu,True,,True,nira/tanira,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1175,Lake Victoria,Mara,20,Musoma Rural,,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,lake,surface,communal standpipe,0.0,45.0,False
functional needs repair,1000.0,1280,Lake Tanganyika,Kigoma,16,Kibondo,True,VWC,False,gravity,gravity,water board,user-group,pay annually,good,insufficient,rainwater harvesting,surface,communal standpipe,2.0,10.0,False
functional needs repair,5000.0,497,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,pay annually,good,enough,river,surface,communal standpipe,35.714285714285715,1.0,False
functional needs repair,0.0,0,Internal,Shinyanga,17,Maswa,True,WUG,False,gravity,gravity,wug,user-group,other,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,Parastatal,,submersible,submersible,parastatal,parastatal,never pay,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,500.0,1370,Lake Tanganyika,Kigoma,16,Kibondo,True,VWC,False,gravity,gravity,vwc,user-group,pay when scheme fails,good,enough,spring,groundwater,communal standpipe,2.0,6.0,False
functional needs repair,250.0,1342,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,0.46296296296296297,33.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Shinyanga Rural,False,Parastatal,True,other,other,parastatal,parastatal,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe multiple,0.0,,False
functional needs repair,0.0,0,Lake Tanganyika,Tabora,14,Urambo,True,VWC,True,nira/tanira,handpump,vwc,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1375,Internal,Singida,13,Iramba,True,Parastatal,True,gravity,gravity,parastatal,parastatal,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,16.0,False
functional needs repair,0.0,1503,Pangani,Kilimanjaro,3,Moshi Rural,False,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,other,0.0,37.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,other,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,True,WUG,True,nira/tanira,handpump,wug,user-group,unknown,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1293,Lake Tanganyika,Kigoma,16,Kibondo,,,False,gravity,gravity,unknown,unknown,unknown,unknown,unknown,rainwater harvesting,surface,communal standpipe,0.0,3.0,False
functional needs repair,0.0,0,Wami / Ruvu,Morogoro,5,Kilosa,True,VWC,True,submersible,submersible,vwc,user-group,never pay,salty,insufficient,machine dbh,groundwater,communal standpipe,0.0,6.0,False
functional needs repair,2500.0,1198,Lake Rukwa,Rukwa,15,Mpanda,True,VWC,True,india mark ii,handpump,vwc,user-group,pay when scheme fails,good,enough,machine dbh,groundwater,hand pump,10.0,23.0,False
functional needs repair,250.0,1276,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,water board,user-group,pay monthly,good,enough,river,surface,communal standpipe,1.0869565217391304,12.0,False
functional needs repair,5000.0,1294,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,False,other,other,vwc,user-group,pay when scheme fails,good,enough,spring,groundwater,improved spring,14.285714285714286,18.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,never pay,salty,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1095,Internal,Arusha,2,Monduli,False,VWC,,submersible,submersible,vwc,user-group,never pay,good,insufficient,machine dbh,groundwater,communal standpipe,0.0,13.0,False
functional needs repair,500.0,360,Wami / Ruvu,Morogoro,5,Mvomero,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe,8.928571428571429,6.0,False
functional needs repair,0.0,1431,Lake Nyasa,Ruvuma,10,Mbinga,,VWC,True,gravity,gravity,vwc,user-group,unknown,good,insufficient,spring,groundwater,communal standpipe,0.0,3.0,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Mwanza,19,Magu,True,,True,nira/tanira,handpump,vwc,user-group,never pay,salty,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,1338,Wami / Ruvu,Morogoro,5,Kilosa,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,2.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Maswa,True,WUG,False,gravity,gravity,wug,user-group,never pay,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,0.0,-32,Ruvuma / Southern Coast,Lindi,80,Kilwa,True,VWC,True,gravity,gravity,vwc,user-group,unknown,good,enough,spring,groundwater,other,0.0,,False
functional needs repair,1000.0,711,Pangani,Kilimanjaro,3,Mwanga,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe,8.333333333333334,5.0,False
functional needs repair,0.0,1506,Internal,Singida,13,Singida Rural,True,VWC,,afridev,handpump,vwc,user-group,unknown,good,dry,machine dbh,groundwater,hand pump,0.0,23.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,192,Rufiji,Pwani,60,Rufiji,True,VWC,True,mono,motorpump,vwc,user-group,never pay,good,enough,machine dbh,groundwater,communal standpipe,0.0,6.0,False
functional needs repair,0.0,1406,Lake Tanganyika,Kigoma,16,Kibondo,True,VWC,False,gravity,gravity,vwc,user-group,unknown,good,insufficient,rainwater harvesting,surface,communal standpipe,0.0,12.0,False
functional needs repair,0.0,1751,Lake Rukwa,Rukwa,15,Nkasi,False,VWC,False,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,25.0,False
functional needs repair,0.0,0,Internal,Dodoma,1,Kondoa,True,VWC,False,other motorpump,motorpump,vwc,user-group,pay per bucket,good,enough,machine dbh,groundwater,communal standpipe multiple,0.0,,False
functional needs repair,0.0,1560,Internal,Singida,13,Singida Rural,True,VWC,,nira/tanira,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,other,0.0,23.0,False
functional needs repair,0.0,0,Wami / Ruvu,Morogoro,5,Kilosa,True,VWC,True,submersible,submersible,vwc,user-group,never pay,salty,insufficient,machine dbh,groundwater,communal standpipe,0.0,6.0,False
functional needs repair,300.0,1033,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,WUG,True,gravity,gravity,wug,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe multiple,1.7142857142857142,10.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,other,0.0,,False
functional needs repair,5000.0,1957,Internal,Manyara,21,Mbulu,True,VWC,True,gravity,gravity,vwc,user-group,pay annually,good,enough,river,surface,communal standpipe,28.089887640449437,37.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Mbeya Rural,True,VWC,True,gravity,gravity,wug,user-group,pay when scheme fails,good,insufficient,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,1534,Pangani,Kilimanjaro,3,Moshi Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,other,0.0,41.0,False
functional needs repair,0.0,1282,Internal,Arusha,2,Longido,True,VWC,True,gravity,gravity,vwc,user-group,pay when scheme fails,good,insufficient,river,surface,other,0.0,8.0,False
functional needs repair,1000.0,700,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,spring,groundwater,communal standpipe,20.0,2.0,False
functional needs repair,0.0,0,Lake Rukwa,Mbeya,12,Chunya,True,VWC,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,50.0,105,Ruvuma / Southern Coast,Lindi,80,Kilwa,True,WUG,True,submersible,submersible,wug,user-group,pay per bucket,good,enough,machine dbh,groundwater,hand pump,50.0,37.0,False
functional needs repair,0.0,634,Pangani,Kilimanjaro,3,Same,True,Water authority,True,gravity,gravity,vwc,user-group,never pay,good,enough,river,surface,communal standpipe,0.0,46.0,False
functional needs repair,0.0,0,Lake Victoria,Mwanza,19,Magu,True,,True,nira/tanira,handpump,vwc,user-group,never pay,good,insufficient,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Tanganyika,Shinyanga,17,Bukombe,True,Parastatal,True,gravity,gravity,parastatal,parastatal,unknown,good,seasonal,rainwater harvesting,surface,communal standpipe,0.0,,False
functional needs repair,250.0,1215,Lake Tanganyika,Kigoma,16,Kasulu,True,Water authority,True,gravity,gravity,vwc,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,0.6944444444444444,19.0,False
functional needs repair,0.0,283,Rufiji,Morogoro,5,Kilombero,True,,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,river,surface,communal standpipe,0.0,31.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,improved spring,0.0,,False
functional needs repair,200.0,1079,Lake Tanganyika,Kigoma,16,Kigoma Rural,True,WUG,True,gravity,gravity,vwc,user-group,pay monthly,good,enough,river,surface,communal standpipe multiple,1.2820512820512822,7.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,improved spring,0.0,,False
functional needs repair,100.0,1336,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,nira/tanira,handpump,wug,user-group,pay when scheme fails,good,insufficient,shallow well,groundwater,hand pump,0.2,15.0,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Shinyanga Rural,True,VWC,True,swn 80,handpump,vwc,user-group,never pay,salty,enough,machine dbh,groundwater,hand pump,0.0,,False
functional needs repair,1000.0,1937,Lake Rukwa,Rukwa,15,Nkasi,False,VWC,False,gravity,gravity,vwc,user-group,pay annually,good,insufficient,river,surface,communal standpipe,6.666666666666667,5.0,False
functional needs repair,0.0,1214,Lake Victoria,Mwanza,19,Ukerewe,True,,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,improved spring,0.0,12.0,False
functional needs repair,0.0,1443,Pangani,Kilimanjaro,3,Moshi Rural,True,VWC,True,gravity,gravity,vwc,user-group,unknown,good,insufficient,spring,groundwater,other,0.0,38.0,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,seasonal,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Karagwe,True,WUG,True,gravity,gravity,vwc,user-group,never pay,good,enough,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Rufiji,Mbeya,12,Mbarali,True,WUA,True,gravity,gravity,wua,user-group,pay monthly,good,insufficient,river,surface,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Shinyanga,17,Bariadi,True,WUG,False,swn 80,handpump,wug,user-group,never pay,salty,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Ngara,True,VWC,False,india mark iii,handpump,vwc,user-group,never pay,good,enough,shallow well,groundwater,hand pump,0.0,,False
functional needs repair,0.0,0,Lake Victoria,Kagera,18,Bukoba Rural,True,VWC,True,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
functional needs repair,0.0,0,Lake Nyasa,Mbeya,12,Rungwe,True,VWC,,gravity,gravity,vwc,user-group,never pay,good,insufficient,spring,groundwater,communal standpipe,0.0,,False
